GDAY_DS,T_ID,VS_T_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SF,BB,HP,KK,GD,OBP,win
20190505,SS,WO,33,32,2,2,5,2,0,0,0,0,0,1,0,6,0,0.181818182,0
20190505,WO,SS,44,38,11,12,17,10,4,0,0,0,0,4,2,5,3,0.522727273,1
20190507,HH,SK,34,32,2,2,7,4,0,1,0,1,0,2,0,10,2,0.264705882,0
20190507,SK,HH,44,36,10,11,12,6,0,2,4,0,0,7,1,10,0,0.454545455,1
20190507,HT,OB,39,32,3,3,8,4,0,0,0,1,0,5,0,1,0,0.351351351,0
20190507,OB,HT,37,32,4,4,6,0,2,0,2,0,1,3,1,9,0,0.27027027,1
20190507,LG,WO,48,43,11,12,18,4,0,0,6,3,0,4,0,9,0,0.468085106,1
20190507,WO,LG,46,39,10,10,12,8,0,2,2,0,0,5,2,5,0,0.413043478,0
20190507,LT,KT,35,33,2,2,10,6,2,0,0,0,0,2,0,5,2,0.342857143,0
20190507,KT,LT,41,30,7,7,10,4,0,0,2,0,1,8,1,5,1,0.475,1
20190507,NC,SS,40,34,3,3,7,2,0,2,0,1,0,6,0,7,0,0.325,0
20190507,SS,NC,33,29,6,6,6,2,0,2,0,1,1,3,0,9,1,0.272727273,1
20190508,HH,SK,35,33,2,2,6,4,0,1,0,0,0,2,0,11,0,0.228571429,0
20190508,SK,HH,51,44,16,17,19,8,0,3,2,0,0,5,2,8,1,0.509803922,1
20190508,HT,OB,32,28,0,0,3,0,0,0,0,1,0,4,0,5,1,0.21875,0
20190508,OB,HT,33,31,1,1,8,2,0,0,0,0,0,2,0,8,1,0.303030303,1
20190508,LG,WO,34,32,0,0,6,4,0,0,0,0,0,2,0,4,1,0.235294118,0
20190508,WO,LG,40,34,6,6,10,6,0,2,4,0,0,5,1,3,0,0.4,1
20190508,LT,KT,39,37,4,4,11,6,0,0,0,0,0,2,0,6,1,0.333333333,0
20190508,KT,LT,38,32,5,5,8,4,0,0,2,0,0,6,0,8,0,0.368421053,1
20190508,NC,SS,28,28,0,0,2,0,0,0,0,1,0,0,0,4,0,0.071428571,0
20190508,SS,NC,29,29,2,2,5,2,0,1,2,0,0,0,0,7,0,0.172413793,1
20190509,HH,SK,39,37,6,6,10,2,0,3,2,0,0,2,0,10,0,0.307692308,1
20190509,SK,HH,41,36,1,1,10,0,0,0,0,1,0,3,1,6,0,0.35,0
20190509,HT,OB,42,37,5,5,12,10,0,0,4,0,1,3,1,11,1,0.380952381,1
20190509,OB,HT,37,34,3,3,9,2,0,0,4,0,1,2,0,4,2,0.297297297,0
20190509,LG,WO,36,34,1,1,7,4,0,0,0,0,0,0,2,9,0,0.25,0
20190509,WO,LG,31,30,2,2,6,2,0,0,4,0,0,1,0,3,0,0.225806452,1
20190509,LT,KT,52,48,13,13,22,6,2,1,0,0,0,2,2,5,0,0.5,1
20190509,KT,LT,51,41,6,6,16,6,0,0,0,0,1,6,3,7,1,0.490196078,0
20190509,NC,SS,43,35,4,4,10,4,0,0,0,1,1,6,1,8,1,0.395348837,0
20190509,SS,NC,41,33,6,6,10,2,0,2,0,0,0,7,1,4,1,0.43902439,1
20190510,HH,LG,40,36,5,5,8,2,0,0,2,0,0,1,3,11,0,0.3,1
20190510,LG,HH,32,31,1,2,4,0,0,0,2,0,0,1,0,6,1,0.15625,0
20190510,LT,SS,48,43,11,12,18,4,0,2,0,1,1,3,0,5,1,0.446808511,1
20190510,SS,LT,40,31,5,5,4,2,0,1,6,0,0,9,0,6,1,0.325,0
20190510,OB,NC,44,37,10,11,13,2,2,2,0,1,0,7,0,6,2,0.454545455,0
20190510,NC,OB,46,40,12,12,17,12,0,3,2,0,1,1,1,2,0,0.441860465,1
20190510,SK,HT,36,32,4,4,6,2,0,1,4,0,0,4,0,4,1,0.277777778,1
20190510,HT,SK,36,33,1,1,8,4,2,0,0,0,1,2,0,7,0,0.277777778,0
20190510,WO,KT,37,32,6,6,6,2,0,0,2,1,1,4,0,8,0,0.27027027,0
20190510,KT,WO,37,32,6,7,9,0,0,0,0,0,1,2,1,6,0,0.333333333,1
20190511,HH,LG,39,34,2,4,8,2,2,0,6,0,1,4,0,6,0,0.307692308,0
20190511,LG,HH,34,29,5,6,7,2,0,1,4,0,0,4,0,6,1,0.333333333,1
20190511,LT,SS,35,33,2,2,5,0,0,0,0,0,0,2,0,10,1,0.2,0
20190511,SS,LT,39,32,9,9,10,4,0,0,4,0,1,5,0,6,0,0.394736842,1
20190511,OB,NC,44,38,12,12,14,4,0,3,0,0,1,5,0,7,2,0.431818182,1
20190511,NC,OB,37,33,0,0,7,2,0,0,0,1,0,2,2,10,1,0.297297297,0
20190511,SK,HT,44,41,8,10,15,4,0,2,4,0,0,2,1,4,2,0.409090909,1
20190511,HT,SK,36,34,3,3,7,0,2,1,0,0,0,2,0,3,1,0.25,0
20190511,WO,KT,43,41,5,6,15,0,0,2,2,1,0,1,1,9,1,0.395348837,1
20190511,KT,WO,36,33,2,2,7,4,0,0,0,0,0,0,2,14,0,0.257142857,0
20190512,HH,LG,32,28,0,0,2,0,0,0,0,0,0,3,1,6,1,0.1875,0
20190512,LG,HH,35,31,2,2,10,4,0,0,0,1,0,2,2,3,1,0.4,1
20190512,LT,SS,54,42,10,10,15,2,0,3,4,0,1,8,2,9,1,0.471698113,1
20190512,SS,LT,55,42,8,9,15,4,0,1,2,0,1,9,2,10,1,0.481481481,0
20190512,OB,NC,36,32,3,3,7,6,0,1,2,1,0,4,0,5,1,0.305555556,1
20190512,NC,OB,33,32,2,2,7,6,0,1,0,1,0,1,0,6,1,0.242424242,0
20190512,SK,HT,37,30,4,4,7,2,0,1,6,2,1,6,0,4,0,0.351351351,1
20190512,HT,SK,42,36,3,3,11,6,0,0,2,1,0,5,0,8,0,0.390243902,0
20190512,WO,KT,32,30,3,3,5,0,0,1,0,0,1,1,0,5,1,0.1875,0
20190512,KT,WO,41,37,9,9,16,10,0,1,0,0,1,2,0,4,0,0.45,1
20190514,KT,HT,43,39,6,6,13,2,2,1,4,0,0,3,1,9,0,0.395348837,1
20190514,HT,KT,30,29,0,1,2,0,0,0,0,1,0,1,0,5,0,0.1,0
20190514,LG,LT,31,29,0,0,3,0,0,0,2,1,0,2,0,8,0,0.161290323,0
20190514,LT,LG,29,28,4,4,5,0,0,3,0,1,0,1,0,6,1,0.206896552,1
20190514,SK,NC,34,32,2,2,8,0,0,0,0,1,1,0,1,4,1,0.264705882,0
20190514,NC,SK,42,39,8,8,15,4,2,2,2,0,0,2,1,6,0,0.428571429,1
20190514,SS,OB,43,32,4,4,7,0,0,1,2,1,1,7,2,3,2,0.380952381,1
20190514,OB,SS,45,40,3,3,11,4,4,1,4,0,0,5,0,11,0,0.355555556,0
20190514,WO,HH,37,33,3,3,8,2,0,0,0,0,1,2,1,3,1,0.297297297,0
20190514,HH,WO,37,30,6,7,8,4,0,2,4,1,0,7,0,5,0,0.405405405,1
20190515,KT,HT,47,41,7,7,15,6,2,1,2,1,0,4,2,9,0,0.446808511,1
20190515,HT,KT,36,34,3,4,7,4,0,0,2,0,0,2,0,9,0,0.25,0
20190515,LG,LT,48,40,4,4,13,6,0,1,2,1,0,8,0,12,0,0.4375,0
20190515,LT,LG,35,33,7,8,10,6,0,1,0,0,0,1,1,7,1,0.342857143,1
20190515,SK,NC,41,35,7,7,10,8,0,1,0,0,1,5,0,9,1,0.365853659,1
20190515,NC,SK,35,34,2,3,7,2,0,1,0,0,0,1,0,10,1,0.228571429,0
20190515,SS,OB,29,28,1,1,1,0,0,1,0,0,0,1,0,11,0,0.068965517,0
20190515,OB,SS,34,27,3,3,7,2,0,0,6,0,2,4,0,5,1,0.333333333,1
20190515,WO,HH,49,40,2,4,9,6,0,0,0,1,0,7,1,9,1,0.354166667,0
20190515,HH,WO,39,39,5,5,9,2,0,2,2,0,0,0,0,9,1,0.230769231,1
20190516,KT,HT,39,37,6,6,12,2,0,3,2,0,0,2,0,6,2,0.358974359,1
20190516,HT,KT,39,33,3,3,6,4,0,0,0,0,1,4,1,2,0,0.282051282,0
20190516,LG,LT,39,34,3,3,8,2,0,0,0,0,1,3,1,12,0,0.307692308,1
20190516,LT,LG,36,33,2,2,6,2,0,0,0,0,0,3,0,8,0,0.25,0
20190516,SK,NC,39,34,2,2,9,2,0,0,2,0,1,1,3,12,0,0.333333333,0
20190516,NC,SK,36,32,4,5,10,4,0,0,2,1,0,4,0,5,1,0.388888889,1
20190516,SS,OB,31,29,1,1,5,2,0,0,2,1,1,0,1,4,1,0.193548387,0
20190516,OB,SS,34,33,4,4,6,2,0,0,4,0,0,1,0,4,0,0.205882353,1
20190516,WO,HH,40,37,5,6,11,2,0,1,2,0,0,2,1,7,1,0.35,0
20190516,HH,WO,45,39,15,15,18,2,0,2,2,1,0,6,0,8,1,0.533333333,1
20190517,HT,HH,41,36,5,5,10,6,0,1,2,0,1,4,0,8,0,0.341463415,1
20190517,HH,HT,34,32,0,2,4,2,0,0,2,0,0,1,1,10,0,0.176470588,0
20190517,LT,WO,32,30,0,0,3,0,0,0,0,0,0,2,0,8,1,0.15625,0
20190517,WO,LT,35,31,7,7,9,2,4,0,0,0,0,3,1,4,1,0.371428571,1
20190517,NC,LG,48,42,13,13,16,10,2,1,4,0,0,3,2,3,0,0.446808511,1
20190517,LG,NC,36,33,2,2,7,0,0,0,0,0,0,3,0,10,1,0.277777778,0
20190517,OB,SK,41,38,3,3,14,0,0,1,0,1,0,2,0,7,0,0.4,1
20190517,SK,OB,34,31,1,1,4,0,0,0,0,0,0,3,0,7,1,0.205882353,0
20190517,SS,KT,51,43,14,14,20,4,2,1,0,1,1,3,2,4,0,0.510204082,1
20190517,KT,SS,36,34,3,3,8,2,0,2,0,0,0,2,0,11,1,0.277777778,0
20190518,HT,HH,35,33,2,2,8,4,0,1,0,0,0,1,1,10,1,0.285714286,0
20190518,HH,HT,38,31,5,5,7,4,0,1,2,0,0,5,1,2,0,0.351351351,1
20190518,LT,WO,35,35,1,1,6,2,0,0,0,0,0,0,0,8,0,0.171428571,0
20190518,WO,LT,44,37,13,13,14,0,0,3,0,0,0,6,1,4,1,0.477272727,1
20190518,NC,LG,45,39,9,9,14,2,0,1,6,0,2,2,1,7,1,0.386363636,1
20190518,LG,NC,37,34,2,3,6,4,0,0,0,0,0,3,0,4,0,0.243243243,0
20190518,OB,SK,51,44,9,10,13,4,0,2,4,0,1,2,3,9,1,0.36,1
20190518,SK,OB,47,46,4,5,13,0,0,0,2,0,0,0,1,12,1,0.29787234,0
20190518,SS,KT,32,31,0,0,7,0,0,0,2,0,0,0,0,3,1,0.225806452,0
20190518,KT,SS,29,28,2,2,4,4,0,0,0,1,1,0,0,3,0,0.137931034,1
20190519,HT,HH,40,35,3,5,12,6,0,0,2,1,0,4,0,7,2,0.41025641,1
20190519,HH,HT,32,32,0,0,4,2,0,0,0,0,0,0,0,10,0,0.125,0
20190519,LT,WO,34,32,3,3,6,2,0,0,0,0,0,2,0,9,1,0.235294118,0
20190519,WO,LT,39,36,8,9,13,2,0,1,0,0,0,3,0,7,1,0.41025641,1
20190521,HH,SS,34,31,3,3,5,2,2,2,0,1,1,1,1,10,0,0.205882353,0
20190521,SS,HH,41,34,9,9,14,2,0,3,2,0,1,3,2,4,1,0.475,1
20190521,LT,HT,39,36,6,6,12,4,0,1,2,1,0,2,1,10,1,0.384615385,0
20190521,HT,LT,44,35,9,10,16,10,2,0,4,0,1,5,1,4,2,0.523809524,1
20190521,NC,WO,38,33,3,3,7,0,0,0,2,0,0,4,0,4,2,0.297297297,1
20190521,WO,NC,32,30,1,1,4,2,0,0,2,0,0,2,0,4,1,0.1875,0
20190521,OB,KT,45,33,6,7,9,6,2,0,2,0,0,12,0,5,2,0.466666667,0
20190521,KT,OB,45,37,10,12,12,8,0,0,2,0,0,7,1,5,0,0.444444444,1
20190521,SK,LG,39,36,4,4,10,4,0,0,0,1,0,2,0,7,0,0.315789474,1
20190521,LG,SK,31,31,2,2,5,0,0,1,0,0,0,0,0,6,2,0.161290323,0
20190522,HH,SS,53,47,5,5,12,4,0,2,2,0,0,6,0,9,3,0.339622642,0
20190522,SS,HH,50,43,6,6,13,4,2,0,2,2,2,4,0,12,0,0.346938776,1
20190522,LT,HT,41,35,5,5,11,6,0,1,0,0,2,2,0,11,1,0.333333333,0
20190522,HT,LT,44,37,5,6,10,2,0,2,2,1,0,7,0,7,1,0.386363636,1
20190522,NC,WO,42,37,2,2,11,2,0,0,2,0,1,3,1,10,1,0.357142857,0
20190522,WO,NC,34,30,2,4,7,4,0,0,0,2,1,3,0,6,1,0.294117647,1
20190522,OB,KT,35,32,1,1,9,4,0,0,2,2,1,2,0,5,0,0.314285714,0
20190522,KT,OB,32,28,2,3,8,0,0,0,4,2,1,3,0,6,1,0.34375,1
20190522,SK,LG,40,33,2,2,6,2,2,0,6,0,0,5,1,5,0,0.307692308,1
20190522,LG,SK,33,32,0,0,5,4,0,0,0,0,0,1,0,11,0,0.181818182,0
20190523,HH,SS,34,33,1,1,7,2,0,0,4,0,0,1,0,6,1,0.235294118,0
20190523,SS,HH,39,31,2,2,12,4,0,1,2,1,0,6,0,3,2,0.486486486,1
20190523,LT,HT,34,31,1,1,4,0,0,0,4,0,0,3,0,9,0,0.205882353,0
20190523,HT,LT,30,28,3,3,6,0,0,2,0,1,0,1,0,5,0,0.24137931,1
20190523,NC,WO,43,39,4,4,14,2,4,0,2,1,1,2,1,6,1,0.395348837,1
20190523,WO,NC,30,30,2,2,4,0,0,1,0,0,0,0,0,12,1,0.133333333,0
20190523,OB,KT,43,36,2,2,7,2,0,0,2,1,0,3,3,9,0,0.30952381,0
20190523,KT,OB,41,35,3,3,9,6,0,0,0,0,0,5,0,0,1,0.35,1
20190523,SK,LG,39,33,1,1,8,0,2,0,6,1,0,6,0,10,1,0.358974359,0
20190523,LG,SK,38,32,1,2,8,4,0,0,2,1,0,5,1,16,1,0.368421053,1
20190524,HH,OB,41,37,3,4,9,2,0,0,8,0,0,4,0,3,0,0.317073171,1
20190524,OB,HH,45,36,3,3,10,4,0,0,2,0,1,6,2,5,0,0.4,0
20190524,KT,HT,43,38,4,5,13,4,0,0,0,2,0,5,0,6,1,0.418604651,0
20190524,HT,KT,41,37,6,7,13,6,0,1,6,0,0,2,1,5,0,0.4,1
20190524,LG,LT,43,38,5,5,12,0,0,1,2,0,0,3,1,5,0,0.380952381,0
20190524,LT,LG,44,35,6,8,10,2,0,1,6,0,0,7,1,4,0,0.418604651,1
20190524,SK,NC,37,32,4,4,8,6,0,1,0,1,0,4,1,5,2,0.351351351,1
20190524,NC,SK,34,30,2,2,6,0,0,0,4,0,1,2,0,5,1,0.242424242,0
20190524,WO,SS,44,39,10,10,13,4,2,4,0,0,0,5,0,8,1,0.409090909,1
20190524,SS,WO,39,37,5,5,11,2,2,1,4,1,0,2,0,10,0,0.333333333,0
20190525,HH,OB,44,39,4,4,16,4,0,0,2,0,1,3,0,3,1,0.441860465,0
20190525,OB,HH,40,31,7,7,8,0,0,1,4,0,0,9,0,1,1,0.425,1
20190525,KT,HT,36,33,3,3,6,2,0,1,0,0,1,2,0,10,1,0.222222222,0
20190525,HT,KT,43,35,9,10,13,6,0,0,4,0,1,6,1,3,1,0.465116279,1
20190525,LG,LT,40,31,6,6,7,0,0,1,0,2,0,4,4,6,0,0.384615385,1
20190525,LT,LG,44,35,5,5,11,2,0,0,8,1,1,7,0,9,0,0.418604651,0
20190525,SK,NC,43,35,7,7,10,2,0,2,2,1,1,5,2,7,0,0.395348837,0
20190525,NC,SK,44,39,10,10,17,0,2,2,0,0,0,4,0,0,2,0.488372093,1
20190525,WO,SS,42,39,9,9,13,6,2,2,2,0,0,3,0,4,1,0.380952381,0
20190525,SS,WO,39,33,10,10,13,6,0,1,2,1,1,3,1,4,2,0.447368421,1
20190526,HH,OB,38,32,1,1,7,0,2,0,4,1,0,3,2,7,0,0.324324324,0
20190526,OB,HH,32,25,2,2,2,2,0,0,0,0,2,5,0,4,0,0.21875,1
20190526,KT,HT,43,38,5,5,13,2,0,0,0,0,0,5,0,6,3,0.418604651,0
20190526,HT,KT,49,44,15,17,20,6,2,2,4,0,0,5,0,3,0,0.510204082,1
20190526,LG,LT,48,39,10,11,13,8,0,1,0,0,1,7,1,5,0,0.4375,1
20190526,LT,LG,35,33,2,2,7,2,2,0,0,0,0,2,0,4,1,0.257142857,0
20190526,SK,NC,36,33,2,2,9,0,0,1,2,1,0,2,0,7,1,0.314285714,1
20190526,NC,SK,38,31,0,1,4,2,0,0,0,0,0,6,0,5,0,0.27027027,0
20190526,WO,SS,37,30,3,3,6,2,0,0,2,1,2,5,0,7,0,0.297297297,0
20190526,SS,WO,36,33,4,4,7,4,0,1,0,0,0,3,0,10,0,0.277777778,1
20190528,HT,HH,33,32,0,0,4,0,0,0,2,0,0,1,0,9,0,0.151515152,0
20190528,HH,HT,34,28,2,2,9,2,0,0,0,1,1,4,0,5,1,0.393939394,1
20190528,KT,SK,33,31,0,0,6,0,0,0,2,0,0,1,0,5,1,0.21875,0
20190528,SK,KT,28,27,1,1,5,2,0,0,0,0,0,1,0,6,2,0.214285714,1
20190528,LG,WO,28,27,0,0,2,0,0,0,0,0,0,1,0,10,1,0.107142857,0
20190528,WO,LG,34,32,5,5,10,0,4,1,0,0,1,1,0,8,0,0.323529412,1
20190528,LT,NC,47,39,9,9,14,4,0,0,0,1,1,4,2,6,0,0.434782609,1
20190528,NC,LT,41,38,4,4,10,4,0,0,0,0,0,3,0,11,0,0.317073171,0
20190528,SS,OB,35,33,1,1,6,2,0,0,2,0,0,2,0,10,0,0.228571429,0
20190528,OB,SS,35,32,4,4,8,6,0,0,2,0,1,2,0,8,0,0.285714286,1
20190529,HT,HH,38,36,2,3,11,8,0,1,0,0,0,1,0,4,1,0.324324324,1
20190529,HH,HT,31,29,1,1,5,2,0,0,2,1,1,1,0,10,1,0.193548387,0
20190529,KT,SK,40,36,8,8,10,2,2,1,0,0,0,4,0,6,1,0.35,1
20190529,SK,KT,41,33,6,6,8,2,2,0,0,1,0,6,2,9,1,0.390243902,0
20190529,LG,WO,42,37,4,4,13,8,0,0,0,1,0,4,0,3,1,0.414634146,1
20190529,WO,LG,34,30,2,2,6,2,0,1,0,0,0,3,0,5,2,0.272727273,0
20190529,LT,NC,44,37,5,6,13,4,0,1,0,1,1,4,2,12,0,0.431818182,0
20190529,NC,LT,39,35,8,8,14,8,2,2,0,0,1,2,0,4,2,0.421052632,1
20190529,SS,OB,39,37,2,2,8,10,0,0,0,0,1,1,0,3,1,0.230769231,0
20190529,OB,SS,40,35,3,3,10,6,0,2,2,0,0,4,0,6,0,0.358974359,1
20190530,HT,HH,39,34,3,3,7,4,0,1,0,0,0,4,1,8,0,0.307692308,1
20190530,HH,HT,36,32,1,2,7,0,0,0,0,1,0,2,1,7,1,0.285714286,0
20190530,KT,SK,41,33,2,2,7,0,0,1,0,0,0,5,2,8,2,0.35,0
20190530,SK,KT,45,39,2,3,10,2,0,1,4,0,0,4,1,7,0,0.340909091,1
20190530,LG,WO,42,38,6,6,13,6,0,1,0,2,0,3,0,2,0,0.390243902,1
20190530,WO,LG,39,33,3,3,8,4,0,0,0,0,0,5,0,6,0,0.342105263,0
20190530,LT,NC,52,37,10,10,13,2,0,0,0,0,0,11,3,3,2,0.529411765,1
20190530,NC,LT,36,32,2,2,8,2,0,0,0,0,1,2,0,7,1,0.285714286,0
20190530,SS,OB,40,36,2,2,12,2,0,0,6,1,0,3,0,6,1,0.384615385,1
20190530,OB,SS,35,31,0,1,6,0,0,0,0,0,0,3,1,4,2,0.285714286,0
20190531,HH,SK,33,31,1,1,6,0,0,1,0,0,0,1,0,1,1,0.21875,0
20190531,SK,HH,30,29,2,2,5,0,0,1,4,1,0,0,1,5,0,0.2,1
20190531,NC,LG,36,34,2,2,7,4,0,0,2,0,0,2,0,6,0,0.25,0
20190531,LG,NC,32,28,3,3,6,6,0,0,0,1,1,3,0,9,0,0.28125,1
20190531,OB,KT,40,32,2,2,8,2,0,0,2,1,0,6,2,4,3,0.4,0
20190531,KT,OB,31,29,3,3,5,0,0,2,0,0,0,2,0,7,1,0.225806452,1
20190531,SS,LT,37,33,1,1,8,0,0,0,0,1,0,3,1,10,1,0.324324324,0
20190531,LT,SS,38,33,6,6,10,4,0,1,4,0,1,4,0,6,0,0.368421053,1
20190531,WO,HT,36,35,2,2,9,4,0,0,2,0,0,1,0,10,1,0.277777778,0
20190531,HT,WO,34,29,3,3,10,2,0,0,0,1,0,2,0,5,0,0.387096774,1
20190601,HH,SK,40,34,6,6,8,0,0,1,2,0,0,4,0,9,0,0.315789474,1
20190601,SK,HH,33,30,0,0,4,2,0,0,0,0,0,3,0,9,1,0.212121212,0
20190601,NC,LG,32,31,1,1,8,0,0,0,0,1,0,1,0,2,2,0.28125,0
20190601,LG,NC,37,31,5,5,10,0,0,1,2,1,1,4,0,5,1,0.388888889,1
20190601,OB,KT,38,35,3,3,8,2,0,0,0,0,0,3,0,5,1,0.289473684,0
20190601,KT,OB,44,38,13,13,16,6,0,2,2,0,1,5,0,5,1,0.477272727,1
20190601,SS,LT,38,36,2,2,9,4,0,0,0,0,0,1,1,8,0,0.289473684,0
20190601,LT,SS,36,31,5,5,9,2,0,0,0,0,0,4,1,7,1,0.388888889,1
20190601,WO,HT,42,34,4,4,11,8,0,0,2,1,0,6,1,6,2,0.43902439,1
20190601,HT,WO,39,34,0,0,7,4,0,0,0,0,0,4,1,8,0,0.307692308,0
20190602,HH,SK,32,31,2,2,6,4,0,0,0,1,0,1,0,11,1,0.21875,0
20190602,SK,HH,38,36,5,5,14,4,0,2,0,1,0,1,0,4,0,0.405405405,1
20190602,NC,LG,35,31,4,4,6,2,0,2,2,1,0,4,0,5,0,0.285714286,1
20190602,LG,NC,32,31,1,1,4,2,0,0,0,0,0,1,0,7,0,0.15625,0
20190602,OB,KT,44,36,6,7,13,8,0,0,4,0,1,6,0,6,2,0.441860465,1
20190602,KT,OB,36,33,4,4,6,0,0,2,2,0,0,3,0,9,0,0.25,0
20190602,SS,LT,44,38,8,8,13,6,0,1,2,0,0,4,1,5,2,0.418604651,1
20190602,LT,SS,36,33,3,3,6,2,0,2,0,0,0,1,2,5,0,0.25,0
20190602,WO,HT,38,33,6,6,7,0,0,0,2,0,0,3,1,12,0,0.297297297,1
20190602,HT,WO,43,37,5,5,9,8,0,1,2,0,0,6,0,6,0,0.348837209,0
20190604,HH,LT,38,36,1,2,7,2,0,0,2,2,1,1,0,9,1,0.210526316,0
20190604,LT,HH,43,38,3,3,8,4,0,1,0,1,0,4,0,10,0,0.285714286,1
20190604,KT,LG,40,32,4,4,8,2,0,1,2,0,0,8,0,6,2,0.4,0
20190604,LG,KT,38,32,8,8,10,2,0,1,2,0,0,6,0,2,2,0.421052632,1
20190604,NC,SS,37,31,1,1,6,0,0,1,0,0,0,6,0,8,2,0.324324324,0
20190604,SS,NC,36,29,3,3,6,2,2,1,0,0,1,4,1,11,0,0.314285714,1
20190604,OB,HT,44,36,7,7,10,4,0,1,6,0,0,8,0,3,0,0.409090909,1
20190604,HT,OB,41,39,2,2,14,6,0,0,2,0,0,2,0,7,2,0.390243902,0
20190604,SK,WO,40,37,2,2,12,0,0,0,0,0,0,1,1,8,1,0.358974359,1
20190604,WO,SK,32,26,0,1,3,0,0,0,0,0,0,5,0,6,3,0.258064516,0
20190605,HH,LT,41,35,5,6,9,2,0,0,2,0,1,5,0,11,0,0.341463415,1
20190605,LT,HH,37,33,3,3,6,0,0,1,2,0,1,3,0,2,0,0.243243243,0
20190605,KT,LG,42,39,1,2,11,2,0,0,4,0,0,3,0,2,0,0.333333333,0
20190605,LG,KT,43,42,8,9,17,8,2,1,0,0,0,1,0,4,0,0.418604651,1
20190605,NC,SS,39,36,3,3,11,4,0,1,0,0,1,2,0,10,1,0.333333333,0
20190605,SS,NC,33,33,3,4,8,2,0,1,0,0,0,0,0,9,0,0.242424242,1
20190605,OB,HT,41,37,5,5,10,6,0,0,0,0,0,3,1,2,0,0.341463415,1
20190605,HT,OB,38,31,4,4,8,4,0,1,2,0,1,4,1,8,2,0.351351351,0
20190605,SK,WO,42,37,6,6,10,2,0,1,2,1,0,4,1,8,0,0.357142857,1
20190605,WO,SK,36,34,2,2,7,2,0,0,0,0,0,2,0,10,0,0.25,0
20190606,HH,LT,41,33,4,4,8,4,0,0,2,0,1,5,0,9,0,0.333333333,1
20190606,LT,HH,39,34,3,3,9,0,0,0,6,0,0,3,0,7,0,0.324324324,0
20190606,KT,LG,42,39,7,7,13,4,2,1,0,0,0,3,0,4,2,0.380952381,0
20190606,LG,KT,37,32,7,8,7,6,0,2,2,0,0,4,0,4,2,0.305555556,1
20190606,NC,SS,32,31,0,0,4,0,0,0,0,0,0,1,0,7,0,0.15625,0
20190606,SS,NC,36,29,5,6,8,0,0,0,2,0,1,4,0,4,0,0.352941176,1
20190606,OB,HT,37,34,3,3,9,4,0,1,0,0,0,3,0,8,2,0.324324324,0
20190606,HT,OB,43,38,11,12,16,8,2,0,4,0,1,2,1,1,0,0.452380952,1
20190606,SK,WO,34,32,2,2,6,2,0,0,0,1,0,1,1,5,0,0.235294118,0
20190606,WO,SK,40,33,6,6,11,6,0,1,2,0,0,5,1,6,1,0.435897436,1
20190607,HT,NC,32,30,1,1,8,2,0,1,0,1,0,1,0,5,2,0.290322581,0
20190607,NC,HT,32,28,2,2,7,4,0,1,0,1,1,2,0,10,0,0.290322581,1
20190607,LG,HH,42,38,2,2,11,2,0,1,0,0,0,3,1,10,0,0.357142857,0
20190607,HH,LG,31,30,3,3,6,4,0,0,2,0,0,0,0,6,0,0.2,1
20190607,LT,KT,39,31,1,1,6,0,0,0,0,1,0,8,0,3,1,0.358974359,0
20190607,KT,LT,32,26,2,2,6,0,0,1,0,1,0,4,0,3,0,0.333333333,1
20190607,SS,SK,48,41,2,2,9,8,0,1,2,1,0,5,0,9,0,0.304347826,0
20190607,SK,SS,48,39,4,4,9,4,0,1,0,1,0,7,1,16,1,0.361702128,1
20190607,WO,OB,36,36,1,1,8,6,0,0,2,1,0,0,0,8,0,0.222222222,0
20190607,OB,WO,39,32,7,7,11,4,0,1,2,1,1,5,1,4,0,0.435897436,1
20190608,HT,NC,34,31,4,4,6,0,0,1,2,0,0,2,1,7,2,0.264705882,0
